,Portfolio,Symbol,Num.Txns,Num.Trades,Net.Trading.PL,Avg.Trade.PL,Med.Trade.PL,Largest.Winner,Largest.Loser,Gross.Profits,Gross.Losses,Std.Dev.Trade.PL,Std.Err.Trade.PL,Percent.Positive,Percent.Negative,Profit.Factor,Avg.Win.Trade,Med.Win.Trade,Avg.Losing.Trade,Med.Losing.Trade,Avg.Daily.PL,Med.Daily.PL,Std.Dev.Daily.PL,Std.Err.Daily.PL,Ann.Sharpe,Max.Drawdown,Profit.To.Max.Draw,Avg.WinLoss.Ratio,Med.WinLoss.Ratio,Max.Equity,Min.Equity,End.Equity
MLM.AX,multipleSymbols,MLM.AX,4,2,-0.5,-0.25,-0.25,0,-0.4,0,-0.5,0.212132034355964,0.15,0,100,0,NA,NA,-0.25,-0.25,-0.25,-0.25,0.212132034355964,0.15,-18.7082869338697,-0.7,-0.714285714285714,NA,NA,0.2,-0.5,-0.5
MLS.AX,multipleSymbols,MLS.AX,2,1,-3.5,-3.5,-3.5,0,-3.5,0,-3.5,NA,NA,0,100,0,NA,NA,-3.5,-3.5,-3.5,-3.5,NA,NA,NA,-3.5,-1,NA,NA,0,-3.5,-3.5
MLX.AX,multipleSymbols,MLX.AX,8,4,-0.169200000000004,-0.042299999999999,1.75,7,-10.6692,10.5,-10.6692,7.50721145477245,3.75360572738622,75,25,0.984141266449219,3.5,2,-10.6692,-10.6692,-0.042299999999999,1.75,7.50721145477245,3.75360572738622,-0.0894462193843361,-23.7932,-0.00711127549047642,0.328047088816406,0.187455479323661,12.124,-11.6692,-0.169200000000004
MMI.AX,multipleSymbols,MMI.AX,2,1,2,2,2,2,0,2,0,NA,NA,100,0,NA,2,2,NA,NA,2,2,NA,NA,NA,-3.5,0.57142857142857,NA,NA,3,-0.5,2
MML.AX,multipleSymbols,MML.AX,4,2,-607,-303.5,-303.5,0,-600,0,-607,419.314321243623,296.5,0,100,0,NA,NA,-303.5,-303.5,-303.5,-303.5,419.314321243623,296.5,-11.4899799347645,-611,-0.993453355155483,NA,NA,4,-607,-607
MMM.AX,multipleSymbols,MMM.AX,4,2,-23.9999999999999,-12,-12,62,-86,62,-86,104.651803615609,74,50,50,0.72093023255814,62,62,-86,-86,-12,-12,104.651803615609,74,-1.82026575572786,-119,-0.201680672268907,0.72093023255814,0.72093023255814,82,-37,-23.9999999999999
MMS.AX,multipleSymbols,MMS.AX,2,1,-18,-18,-18,0,-18,0,-18,NA,NA,0,100,0,NA,NA,-18,-18,-18,-18,NA,NA,NA,-96,-0.1875,NA,NA,72,-24,-18
MNB.AX,multipleSymbols,MNB.AX,6,3,-0.999999999999998,-0.333333333333333,0.5,0.5,-2,1,-2,1.44337567297406,0.833333333333333,66.6666666666667,33.3333333333333,0.500000000000001,0.5,0.5,-2,-2,-0.333333333333333,0.5,1.44337567297406,0.833333333333333,-3.66606055596467,-4,-0.25,0.25,0.25,1.5,-4,-0.999999999999998
MND.AX,multipleSymbols,MND.AX,8,4,-2.00009999999975,-0.500024999999926,-26.4999999999999,143,-92.0000999999999,143,-145.0001,101.319656368689,50.6598281843443,25,75,0.986206216409508,143,143,-48.3333666666666,-41.9999999999998,-0.500024999999926,-26.4999999999999,101.319656368689,50.6598281843443,-0.0783426541342108,-255.000199999999,-0.00784352325998078,2.95861864922852,3.40476190476192,113.9999,-245.0002,-2.00009999999975
MNF.AX,multipleSymbols,MNF.AX,2,1,26,26,26,26,0,26,0,NA,NA,100,0,NA,26,26,NA,NA,26,26,NA,NA,NA,-1,26,NA,NA,26,-1,26
MNS.AX,multipleSymbols,MNS.AX,2,1,-1.5,-1.5,-1.5,0,-1.5,0,-1.5,NA,NA,0,100,0,NA,NA,-1.5,-1.5,-1.5,-1.5,NA,NA,NA,-3.5,-0.428571428571429,NA,NA,0,-3.5,-1.5
MNY.AX,multipleSymbols,MNY.AX,4,2,4,1.99999999999999,1.99999999999999,5.99999999999998,-2,5.99999999999998,-2,5.65685424949237,3.99999999999999,50,50,2.99999999999999,5.99999999999998,5.99999999999998,-2,-2,1.99999999999999,1.99999999999999,5.65685424949237,3.99999999999999,5.6124860801609,-10,0.4,2.99999999999999,2.99999999999999,10,-4,4
MOC.AX,multipleSymbols,MOC.AX,2,1,-47,-47,-47,0,-47,0,-47,NA,NA,0,100,0,NA,NA,-47,-47,-47,-47,NA,NA,NA,-53.5,-0.878504672897196,NA,NA,6.5,-47,-47
MOQ.AX,multipleSymbols,MOQ.AX,2,1,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0
MOT.AX,multipleSymbols,MOT.AX,2,1,2,2,2,2,0,2,0,NA,NA,100,0,NA,2,2,NA,NA,2,2,NA,NA,NA,-2.99999999999997,0.666666666666673,NA,NA,2.99999999999997,0,2
MOZ.AX,multipleSymbols,MOZ.AX,6,3,62,20.6666666666667,23,27,0,62,0,7.76745346515402,4.48454134902457,100,0,NA,20.6666666666667,23,NA,NA,20.6666666666667,23,7.76745346515402,4.48454134902457,42.2369009410607,-35,1.77142857142857,NA,NA,74,-4.99999999999997,62
MP1.AX,multipleSymbols,MP1.AX,12,6,-81.9999000000005,-13.66665,-26,107,-81.9999000000003,107,-188.9999,63.3708445054586,25.8710389346048,16.6666666666667,83.3333333333333,0.56613786568141,107,107,-37.7999800000001,-31,-13.66665,-26,63.3708445054586,25.8710389346048,-3.42351983195487,-191.9999,-0.427083034939083,2.83068932840705,3.45161290322581,53,-138.9999,-81.9999000000005
MPL.AX,multipleSymbols,MPL.AX,4,2,-37,-18.5,-18.5,8.00000000000001,-45,8.00000000000001,-45,37.476659402887,26.5,50,50,0.177777777777778,8.00000000000001,8.00000000000001,-45,-45,-18.5,-18.5,37.476659402887,26.5,-7.83630131946995,-57,-0.649122807017544,0.177777777777778,0.177777777777778,0,-57,-37
MPR.AX,multipleSymbols,MPR.AX,4,2,4.5,2.25,2.25,3.5,0,4.5,0,1.76776695296637,1.25,100,0,NA,2.25,2.25,NA,NA,2.25,2.25,1.76776695296637,1.25,20.2049498885793,-2.5,1.8,NA,NA,6.5,0,4.5
MQG.AX,multipleSymbols,MQG.AX,4,2,-1393,-696.5,-696.5,79.9996000000007,-1472.9996,79.9996000000007,-1472.9996,1098.13626549728,776.4996,50,50,0.0543106732683435,79.9996000000007,79.9996000000007,-1472.9996,-1472.9996,-696.5,-696.5,1098.13626549728,776.4996,-10.0685088693724,-2508.9997,-0.555201341793703,0.0543106732683435,0.0543106732683435,1115.9997,-1393,-1393
MRC.AX,multipleSymbols,MRC.AX,4,2,-1.50000000000001,-0.750000000000001,-0.750000000000001,0.999999999999995,-2.5,0.999999999999995,-2.5,2.47487373415291,1.75,50,50,0.399999999999999,0.999999999999995,0.999999999999995,-2.5,-2.5,-0.750000000000001,-0.750000000000001,2.47487373415291,1.75,-4.81070235442365,-7.5,-0.200000000000001,0.399999999999999,0.399999999999999,3.49999999999999,-4.00000000000001,-1.50000000000001
MRD.AX,multipleSymbols,MRD.AX,2,1,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,-0.1,0,NA,NA,0,-0.1,0
MRM.AX,multipleSymbols,MRM.AX,4,2,-5.49999999999999,-2.75,-2.75,4.5,-10,4.5,-10,10.2530483272049,7.25,50,50,0.45,4.5,4.5,-10,-10,-2.75,-2.75,10.2530483272049,7.25,-4.25774806081172,-16,-0.34375,0.45,0.45,7.50000000000001,-8.49999999999999,-5.49999999999999
MRQ.AX,multipleSymbols,MRQ.AX,2,1,0.1,0.1,0.1,0.1,0,0.1,0,NA,NA,100,0,NA,0.1,0.1,NA,NA,0.1,0.1,NA,NA,NA,-0.6,0.166666666666667,NA,NA,0.6,0,0.1
MRR.AX,multipleSymbols,MRR.AX,2,1,-0.2,-0.2,-0.2,0,-0.2,0,-0.2,NA,NA,0,100,0,NA,NA,-0.2,-0.2,-0.2,-0.2,NA,NA,NA,-1.2,-0.166666666666667,NA,NA,0,-1.2,-0.2
MRZ.AX,multipleSymbols,MRZ.AX,2,1,-2.5,-2.5,-2.5,0,-2.5,0,-2.5,NA,NA,0,100,0,NA,NA,-2.5,-2.5,-2.5,-2.5,NA,NA,NA,-11.5,-0.217391304347826,NA,NA,4,-7.5,-2.5
MSB.AX,multipleSymbols,MSB.AX,4,2,87,43.5,43.5,87,0,87,0,61.5182899632296,43.5,50,0,NA,87,87,NA,NA,43.5,43.5,61.5182899632296,43.5,11.2249721603218,-20,4.35,NA,NA,107,0,87
MSG.AX,multipleSymbols,MSG.AX,6,3,1.7,0.566666666666667,0.1,1.7,-0.1,1.8,-0.1,0.98657657246325,0.569600249687836,66.6666666666667,33.3333333333333,18,0.9,0.9,-0.1,-0.1,0.566666666666667,0.1,0.98657657246325,0.569600249687836,9.11794857966253,-1.3,1.30769230769231,8.99999999999999,8.99999999999999,3,-0.0999999999999996,1.7
MSI.AX,multipleSymbols,MSI.AX,2,1,-0.8,-0.8,-0.8,0,-0.8,0,-0.8,NA,NA,0,100,0,NA,NA,-0.8,-0.8,-0.8,-0.8,NA,NA,NA,-7.5,-0.106666666666667,NA,NA,6.4,-1.1,-0.8
MSL.AX,multipleSymbols,MSL.AX,2,1,1,1,1,1,0,1,0,NA,NA,100,0,NA,1,1,NA,NA,1,1,NA,NA,NA,-3.5,0.285714285714285,NA,NA,2,-1.5,1
MSM.AX,multipleSymbols,MSM.AX,6,3,4.9,1.63333333333333,1,4,-0.1,5,-0.1,2.1221058723196,1.22519839663261,66.6666666666667,33.3333333333333,50,2.5,2.5,-0.1,-0.1,1.63333333333333,1,2.1221058723196,1.22519839663261,12.2182230333737,-3.5,1.4,25,25,5.9,-0.2,4.9
